time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-01-30T13:38:00Z;6;128.03;518.57;8.30;1.32;15.15;74.93;8.32;4.12;1.23;1028.60;53.90;9.30;206.00;0.60;
2022-01-30T13:39:00Z;6;128.05;528.45;8.30;1.32;13.55;74.94;10.59;5.05;1.23;1028.70;54.30;9.30;202.00;0.50;
2022-01-30T13:40:00Z;6;126.77;538.24;8.30;1.32;13.55;73.48;8.32;5.98;1.23;1028.70;54.90;9.30;204.00;0.50;
2022-01-30T13:41:00Z;6;128.06;526.11;8.30;1.32;15.15;73.49;16.28;5.98;1.23;1028.80;54.40;9.30;209.00;0.40;
2022-01-30T13:42:00Z;6;129.33;526.01;8.30;1.32;16.75;72.51;14.00;5.05;1.23;1028.70;53.40;9.30;201.00;0.80;
2022-01-30T13:43:00Z;6;125.50;523.66;8.30;1.32;16.75;73.49;20.82;5.98;1.23;1028.80;54.30;9.30;210.00;0.40;
2022-01-30T13:44:00Z;6;119.09;523.66;8.30;1.32;15.95;76.89;10.59;3.19;1.23;1028.80;54.20;9.30;187.00;0.50;
2022-01-30T13:45:00Z;6;111.41;521.21;8.30;1.32;15.95;76.89;17.41;5.05;1.23;1028.80;54.70;9.30;202.00;0.40;
2022-01-30T13:46:00Z;6;106.35;524.29;8.31;3.95;15.96;76.43;9.46;5.05;1.23;1028.70;53.90;9.10;191.00;0.60;
2022-01-30T13:47:00Z;6;105.06;526.74;8.31;3.95;14.36;77.89;11.73;4.12;1.23;1028.70;53.30;9.10;209.00;0.30;
2022-01-30T13:48:00Z;6;101.23;529.29;8.31;3.95;13.57;78.38;8.32;5.05;1.23;1028.80;53.80;9.10;207.00;0.60;
2022-01-30T13:49:00Z;6;94.84;519.76;8.31;2.63;13.57;76.93;9.46;6.91;1.23;1028.70;53.70;9.00;178.00;0.60;
2022-01-30T13:50:00Z;6;88.43;519.76;8.31;1.32;12.77;78.39;15.14;6.91;1.23;1028.70;54.20;9.00;190.00;0.50;
2022-01-30T13:51:00Z;6;79.51;530.29;8.32;2.64;13.58;78.43;17.41;5.98;1.24;1028.70;53.80;8.80;202.00;0.60;
2022-01-30T13:52:00Z;6;71.81;530.29;8.32;3.95;13.58;78.92;10.59;4.12;1.24;1028.70;54.80;8.80;211.00;0.30;
2022-01-30T13:53:00Z;6;66.68;527.84;8.32;2.64;13.58;79.40;10.59;4.12;1.24;1028.70;55.00;8.80;251.00;0.40;
2022-01-30T13:54:00Z;6;65.40;532.74;8.32;1.32;14.38;76.97;20.82;15.26;1.24;1028.70;55.50;8.80;315.00;0.20;
2022-01-30T13:55:00Z;6;69.25;552.34;8.32;1.32;16.79;75.03;186.77;108.10;1.24;1028.70;57.80;8.80;268.00;0.40;
2022-01-30T13:56:00Z;6;79.51;552.34;8.32;1.32;19.19;73.08;21.96;11.55;1.24;1028.70;56.10;8.80;199.00;0.40;
2022-01-30T13:57:00Z;6;85.92;547.34;8.32;1.32;22.39;69.19;20.82;10.62;1.24;1028.60;55.80;8.80;187.00;0.50;
2022-01-30T13:58:00Z;6;89.82;548.09;8.32;2.64;25.61;65.33;10.59;7.84;1.24;1028.60;57.70;8.60;202.00;0.30;
2022-01-30T13:59:00Z;6;94.96;540.74;8.32;3.96;26.41;64.35;35.60;18.05;1.24;1028.60;57.00;8.60;179.00;0.40;
2022-01-30T14:00:00Z;6;94.96;545.64;8.32;3.96;26.41;64.35;44.69;33.83;1.24;1028.60;56.80;8.60;225.00;0.60;
2022-01-30T14:01:00Z;6;96.25;538.39;8.32;3.96;25.61;64.84;10.59;5.98;1.24;1028.70;56.80;8.60;207.00;0.30;
2022-01-30T14:02:00Z;6;94.96;531.03;8.32;2.64;24.81;63.38;11.73;5.05;1.24;1028.70;57.40;8.60;233.00;0.30;
2022-01-30T14:03:00Z;6;98.82;528.58;8.32;1.32;24.01;61.92;20.82;5.05;1.24;1028.70;57.90;8.60;236.00;0.30;
2022-01-30T14:04:00Z;6;106.50;540.63;8.32;1.32;23.20;62.40;9.46;5.98;1.24;1028.50;58.00;8.60;212.00;0.40;
2022-01-30T14:05:00Z;6;109.07;538.18;8.32;1.32;23.20;62.89;10.59;4.12;1.24;1028.50;57.10;8.60;192.00;0.50;
