Time,LOCATION,SAMPLE,INSPECTOR,Cd,Cu 2018-21,Annotation,Ni 2018-21,Annotation,Pb 2018-21,,Zn 2018-21,,Cr 2018-21,,Fe 2018-21,,Mn 2018-21,
7/26/18 11:04,2018 c1.a,0-43 gezeefd,,< LOD,"869,01",5,"130,46",5,"1350,24",5,"2604,3",5,"143,03",5,"81555,66",5,"1167,13",5
7/26/18 11:07,2018 c1.a,0-43 gezeefd,,< LOD,"880,8",5,"112,56",5,"1249,6",5,"2783,18",5,"157,02",5,"90385,45",5,"1108,6",5
,2021          c1.a,0-15 cm,,< LOD,98,2,48,2,178,2,310,2,17,2,16193,2,234,2
9/3/18 12:12,2018 c1.b,0 tot 12 cm gezeefd,,< LOD,"234,89",2,"43,54",3,"363,32",3,"623,68",2,"103,12",3,"30201,38",3,"380,12",3
9/3/18 12:15,2018 c1.b,0 tot 12 cm gezeefd,,< LOD,"286,64",2,"45,87",3,"403,4",3,"675,04",2,"51,75",3,"26900,1",3,"399,5",3
,2021          c1.b,0-20 cm,,< LOD,173,2,36,2,255,2,407,2,58,2,17273,2,262,2
9/3/18 12:22,2018 c1.c,0 tot 20 cm gezeefd ,VEEL KIEZELS,< LOD,"596,22",2,"101,89",3,"631,8",3,"1534,27",2,"76,52",3,"48260,04",3,"794,07",3
9/3/18 12:25,2018 c1.c,0 tot 20 cm gezeefd ,VEEL KIEZELS,< LOD,"625,96",2,"90,19",3,"708,68",3,"1487,37",2,"90,54",3,"51108,72",3,"613,75",3
,2021          c1.c,0-30 cm,,< LOD,992,3,122,3,816,3,1674,3,151,3,17273,3,918,3
7/26/18 11:26,2018 c1.d,0-30,,< LOD,"329,54",3,"98,27",3,"552,16",3,"2679,89",3,"163,15",3,"59529,63",3,758,3
7/26/18 11:28,2018 c1.d,0-30,,< LOD,"381,99",3,"70,29",3,"727,79",3,"2999,5",3,"108,01",3,"47494,92",3,"693,86",3
7/26/18 11:31,2018 c1.d,0-37 gezeefd,,< LOD,"431,49",5,"83,56",5,"758,06",5,"4385,02",5,"81,29",5,"56802,15",5,"716,62",5
7/26/18 11:33,2018 c1.d,0-37 gezeefd,,< LOD,"410,76",5,"64,11",5,"763,99",5,"4389,88",5,"88,24",5,"62733,45",5,"742,3",5
7/26/18 11:36,2018 c1.d,0-37 gezeefd,,< LOD,"424,76",5,"68,66",5,"753,75",5,"4242,54",5,"78,93",5,"56228,44",5,"762,15",5
,2021          c1.d,0-15 cm,,< LOD,286,2,42,2,359,2,828,2,41,2,35599,2,532,2
9/3/18 12:28,2018 c1.e,0 tot 30 cm gezeefd ,VEEL KIEZELS,< LOD,"18,59",3,"27,09",!3,"47,44",3,"63,28",3,"56,15",3,"7520,29",3,"204,81",3
9/3/18 12:32,2018 c1.e,0 tot 30 cm gezeefd ,VEEL KIEZELS,< LOD,"24,56",3,"27,23",!3,"50,05",3,"67,02",3,"53,46",3,"6798,76",3,"200,32",3
,2019     c1.e.1,0 tot 30 cm gezeefd ,Sample 17-4-19,< LOD,"14,7",3,"26,55",!3,"46,26",3,"87,92",3,"18,32",3,"9742,82",3,"184,81",3
,2019     c1.e.1,,,< LOD,"13,54",!3,"26,31",!3,"41,38",3,"72,59",3,"27,8",3,"7609,16",3,"186,32",3
,2019     c1.e.2 ,0 tot 30 cm gezeefd ,Sample 17-4-19,<LOD,"11,97",!3,"24,52",!3,"23,92",3,"39,52",3,"10,4",!3,"5216,19",3,"128,25",3
,2019     c1.e.2 ,,,< LOD,"11,95",!3,"23,98",!3,"27,82",3,"43,04",3,"10,32",!3,"5279,73",3,"77,98",3
,2021               c1.e,0-30 cm,,< LOD,23,3,53,!3,53,3,112,3,31,3,8701,,208,3
