Date;Time;Acidity ();Oxygen Index ();Soil conductivity (mS);Soil moisture (%);Soil temperature (°C)
02/01/2022;5:54:23 AM;7.196953125;111.27;0.09;40.89607380073801;5.7
02/01/2022;5:34:22 AM;7.196953125;111.27;0.09;40.988295202952045;5.7
02/01/2022;5:14:21 AM;7.185156249999998;111.35;0.09;40.9248929889299;5.7
02/01/2022;4:54:20 AM;7.196953125;111.27;0.09;40.997726937269384;5.7
02/01/2022;4:34:19 AM;7.185156249999998;111.09;0.09;40.98777121771218;5.8
02/01/2022;4:14:18 AM;7.185156249999998;111.09;0.09;40.834767527675275;5.8
02/01/2022;3:54:17 AM;7.185156249999998;111.09;0.09;40.89450184501846;5.8
02/01/2022;3:34:16 AM;7.185156249999998;111.09;0.09;40.95476014760148;5.8
02/01/2022;3:14:15 AM;7.185156249999998;111.09;0.09;40.89345387453875;5.8
02/01/2022;2:54:14 AM;7.185156249999998;111.35;0.09;40.82061992619928;5.8
02/01/2022;2:34:13 AM;7.185156249999998;111.35;0.09;40.931180811808126;5.8
02/01/2022;2:14:12 AM;7.185156249999998;111.35;0.09;40.80647232472326;5.8
02/01/2022;1:54:11 AM;7.185156249999998;111.35;0.09;40.81118819188192;5.9
02/01/2022;1:34:10 AM;7.185156249999998;111.35;0.09;40.79337269372695;5.9
02/01/2022;1:14:09 AM;7.185156249999998;111.09;0.09;40.89345387453875;5.9
02/01/2022;12:54:08 AM;7.185156249999998;111.35;0.09;40.876686346863465;5.9
02/01/2022;12:34:07 AM;7.173359374999999;111.17;0.09;40.86987453874539;6
02/01/2022;12:14:06 AM;7.173359374999999;111.17;0.09;40.85625092250924;6
01/31/2022;11:54:05 PM;7.173359374999999;111.17;0.09;40.84472324723248;6
01/31/2022;11:34:04 PM;7.173359374999999;111.17;0.09;40.84367527675277;6.1
01/31/2022;11:14:03 PM;7.173359374999999;111.17;0.09;40.65975645756459;6.1
01/31/2022;10:54:02 PM;7.173359374999999;110.91;0.09;40.79127675276753;6.1
01/31/2022;10:34:01 PM;7.173359374999999;110.91;0.09;40.77870110701109;6.2
01/31/2022;10:14:00 PM;7.173359374999999;110.91;0.09;40.75983763837639;6.2
01/31/2022;9:53:59 PM;7.161562499999999;110.73;0.09;40.72630258302585;6.2
01/31/2022;9:33:58 PM;7.173359374999999;110.91;0.09;40.5968782287823;6.2
01/31/2022;9:13:57 PM;7.173359374999999;110.91;0.09;40.561771217712185;6.3
01/31/2022;8:53:56 PM;7.173359374999999;110.65;0.09;40.55076752767529;6.3
01/31/2022;8:33:55 PM;7.173359374999999;110.65;0.09;40.695387453874545;6.3
01/31/2022;8:13:54 PM;7.161562499999999;110.73;0.09;40.5229963099631;6.3
01/31/2022;7:53:53 PM;7.161562499999999;110.47;0.09;40.620981549815504;6.4
01/31/2022;7:33:52 PM;7.161562499999999;110.47;0.09;40.593210332103325;6.4
01/31/2022;7:13:51 PM;7.161562499999999;110.47;0.09;40.60211808118082;6.4
01/31/2022;6:53:50 PM;7.161562499999999;110.47;0.09;40.56701107011071;6.4
01/31/2022;6:33:49 PM;7.149765624999999;110.29;0.09;40.54238376383764;6.4
01/31/2022;6:13:48 PM;7.149765624999999;110.29;0.09;40.53504797047972;6.4
01/31/2022;5:53:51 PM;7.161562499999999;110.47;0.09;40.5298081180812;6.4
01/31/2022;5:33:50 PM;7.161562499999999;110.47;0.09;40.49522509225093;6.4
01/31/2022;5:13:49 PM;7.161562499999999;110.47;0.09;40.33226568265684;6.4
01/31/2022;4:53:48 PM;7.161562499999999;110.47;0.09;40.409291512915146;6.4
01/31/2022;4:33:47 PM;7.161562499999999;110.47;0.09;40.391999999999996;6.4
01/31/2022;4:13:46 PM;7.149765624999999;110.29;0.09;40.25995571955721;6.4
01/31/2022;3:53:45 PM;7.149765624999999;110.29;0.09;40.38571217712179;6.4
01/31/2022;3:33:44 PM;7.161562499999999;110.47;0.09;40.32388191881919;6.4
01/31/2022;3:13:43 PM;7.149765624999999;110.55;0.09;40.183977859778615;6.4
01/31/2022;2:53:42 PM;7.149765624999999;110.29;0.09;40.137343173431745;6.4
01/31/2022;2:33:41 PM;7.149765624999999;110.29;0.09;40.24056826568267;6.4
01/31/2022;2:13:40 PM;7.149765624999999;110.29;0.09;40.083896678966795;6.4
